Station :27,500
Number of segments :1
   Segment 1
       5,000    3,000
       5,000    2,500
       4,999    2,000 (knuckle)
       4,867    1,592
       4,698    1,070
       4,652    0,941
       4,593    0,809
       4,556    0,744
       4,513    0,680
       4,462    0,617
       4,404    0,555
       4,337    0,495
       4,260    0,438
       4,172    0,383
       4,073    0,332
       3,961    0,284
       3,835    0,240
       3,694    0,200
       3,538    0,165
       3,368    0,134
       3,184    0,107
       2,988    0,084
       2,780    0,065
       2,561    0,049
       2,333    0,036
       2,095    0,025
       1,599    0,011
       1,079    0,003
       0,543    0,000
       0,000    0,000
-------------------------------

Station :28,600
Number of segments :1
   Segment 1
       5,000    3,000
       4,999    2,500
       4,994    2,000 (knuckle)
       4,784    1,372
       4,680    1,070
       4,630    0,941
       4,567    0,809
       4,528    0,744
       4,483    0,680
       4,431    0,617
       4,372    0,555
       4,303    0,495
       4,225    0,438
       4,136    0,383
       4,036    0,332
       3,923    0,284
       3,797    0,240
       3,656    0,200
       3,501    0,165
       3,332    0,134
       3,149    0,107
       2,954    0,084
       2,748    0,065
       2,531    0,049
       2,305    0,036
       2,070    0,025
       1,579    0,011
       1,065    0,003
       0,537    0,000
       0,000    0,000
-------------------------------

Station :29,700
Number of segments :1
   Segment 1
       5,000    3,000
       4,997    2,500
       4,980    2,000 (knuckle)
       4,837    1,592
       4,758    1,372
       4,645    1,070
       4,590    0,941
       4,522    0,809
       4,481    0,744
       4,434    0,680
       4,380    0,617
       4,318    0,555
       4,248    0,495
       4,168    0,438
       4,078    0,383
       3,977    0,332
       3,864    0,284
       3,738    0,240
       3,598    0,200
       3,444    0,165
       3,276    0,134
       3,095    0,107
       2,903    0,084
       2,700    0,065
       2,486    0,049
       2,263    0,036
       2,033    0,025
       1,550    0,011
       1,046    0,003
       0,526    0,000
       0,000    0,000
-------------------------------

Station :30,800
Number of segments :1
   Segment 1
       5,000    3,000
       4,998    2,750
       4,991    2,500
       4,976    2,250
       4,955    2,000 (knuckle)
       4,802    1,592
       4,716    1,372
       4,591    1,070
       4,530    0,941
       4,456    0,809
       4,412    0,744
       4,362    0,680
       4,306    0,617
       4,242    0,555
       4,169    0,495
       4,088    0,438
       3,997    0,383
       3,895    0,332
       3,781    0,284
       3,656    0,240
       3,517    0,200
       3,364    0,165
       3,199    0,134
       3,021    0,107
       2,832    0,084
       2,633    0,065
       2,424    0,049
       2,206    0,036
       1,981    0,025
       1,510    0,011
       1,018    0,003
       0,513    0,000
       0,000    0,000
-------------------------------

Station :31,900
Number of segments :1
   Segment 1
       5,000    3,000
       4,995    2,750
       4,981    2,500
       4,955    2,250
       4,920    2,000 (knuckle)
       4,757    1,592
       4,663    1,372
       4,554    1,133
       4,492    1,006
       4,419    0,875
       4,329    0,744
       4,276    0,680
       4,217    0,617
       4,150    0,555
       4,075    0,495
       3,992    0,438
       3,900    0,383
       3,797    0,332
       3,683    0,284
       3,558    0,240
       3,421    0,200
       3,270    0,165
       3,108    0,134
       2,934    0,107
       2,749    0,084
       2,554    0,065
       2,351    0,049
       2,139    0,036
       1,920    0,025
       1,463    0,011
       0,986    0,003
       0,496    0,000
       0,000    0,000
-------------------------------

Station :33,000
Number of segments :1
   Segment 1
       5,000    3,000
       4,987    2,750
       4,964    2,500
       4,924    2,250
       4,875    2,000 (knuckle)
       4,792    1,799
       4,703    1,592
       4,603    1,372
       4,484    1,133
       4,415    1,006
       4,335    0,875
       4,238    0,744
       4,181    0,680
       4,119    0,617
       4,049    0,555
       3,972    0,495
       3,887    0,438
       3,793    0,383
       3,690    0,332
       3,576    0,284
       3,451    0,240
       3,315    0,200
       3,167    0,165
       3,008    0,134
       2,837    0,107
       2,657    0,084
       2,468    0,065
       2,270    0,049
       2,065    0,036
       1,853    0,025
       1,411    0,011
       0,951    0,003
       0,478    0,000
       0,000    0,000
-------------------------------

Station :34,100
Number of segments :1
   Segment 1
       4,994    3,000
       4,971    2,750
       4,956    2,625
       4,937    2,500
       4,912    2,375
       4,884    2,250
       4,819    2,000 (knuckle)
       4,733    1,799
       4,640    1,592
       4,532    1,372
       4,401    1,133
